first_name,last_name,email,city,rental_id,rental_date,return_date,payment_id,amount,rental_duration,full_name
Isaac,Oglesby,isaac.oglesby@sakilacustomer.org,Cuernavaca,17,2005-05-25 01:06:36,2005-05-27 00:43:36,15394,2.99,2,Isaac Oglesby
Ruth,Martinez,ruth.martinez@sakilacustomer.org,Kimberley,18,2005-05-25 01:10:47,2005-05-31 06:35:47,490,0.99,6,Ruth Martinez
Ronnie,Ricketts,ronnie.ricketts@sakilacustomer.org,Ziguinchor,19,2005-05-25 01:17:24,2005-05-31 06:00:24,12305,4.99,6,Ronnie Ricketts
Roberta,Harper,roberta.harper@sakilacustomer.org,Shahr-E Kord,20,2005-05-25 01:48:41,2005-05-27 02:20:41,5020,2.99,2,Roberta Harper
Craig,Morrell,craig.morrell@sakilacustomer.org,Cavite,21,2005-05-25 01:59:46,2005-05-26 01:01:46,10499,4.99,1,Craig Morrell
Raul,Fortier,raul.fortier@sakilacustomer.org,Chapra,22,2005-05-25 02:19:23,2005-05-26 04:52:23,13711,4.99,1,Raul Fortier
Barry,Lovelace,barry.lovelace@sakilacustomer.org,Kitwe,23,2005-05-25 02:40:21,2005-05-29 06:34:21,11796,4.99,4,Barry Lovelace
Juan,Fraley,juan.fraley@sakilacustomer.org,Tšeboksary,24,2005-05-25 02:53:02,2005-05-27 01:15:02,9463,4.99,2,Juan Fraley
Pamela,Baker,pamela.baker@sakilacustomer.org,Nanyang,25,2005-05-25 03:21:20,2005-05-27 21:25:20,1011,0.99,2,Pamela Baker
Billy,Poulin,billy.poulin@sakilacustomer.org,Cabuyao,26,2005-05-25 03:36:50,2005-05-31 00:34:50,10019,3.99,6,Billy Poulin
Robert,Baughman,robert.baughman@sakilacustomer.org,Kaliningrad,27,2005-05-25 03:41:50,2005-05-30 01:13:50,8167,4.99,5,Robert Baughman
Constance,Reid,constance.reid@sakilacustomer.org,Zaria,28,2005-05-25 03:42:37,2005-05-26 09:26:37,6245,4.99,1,Constance Reid
Marie,Turner,marie.turner@sakilacustomer.org,Lipetsk,29,2005-05-25 03:47:12,2005-05-30 00:31:12,1203,0.99,5,Marie Turner
Ray,Houle,ray.houle@sakilacustomer.org,Dzerzinsk,30,2005-05-25 04:01:32,2005-05-30 03:12:32,11598,2.99,5,Ray Houle
Fred,Wheat,fred.wheat@sakilacustomer.org,Juárez,31,2005-05-25 04:05:17,2005-05-30 07:15:17,9975,4.99,5,Fred Wheat
Joy,George,joy.george@sakilacustomer.org,Botosani,32,2005-05-25 04:06:21,2005-05-25 23:55:21,6186,0.99,0,Joy George
Kay,Caldwell,kay.caldwell@sakilacustomer.org,Yantai,33,2005-05-25 04:18:51,2005-05-27 03:58:51,7347,0.99,2,Kay Caldwell
Freddie,Duggan,freddie.duggan@sakilacustomer.org,Sullana,34,2005-05-25 04:19:28,2005-05-29 00:10:28,15984,2.99,4,Freddie Duggan
Roberto,Vu,roberto.vu@sakilacustomer.org,Yinchuan,35,2005-05-25 04:24:36,2005-05-27 07:02:36,13055,4.99,2,Roberto Vu
Bonnie,Hughes,bonnie.hughes@sakilacustomer.org,Cheju,36,2005-05-25 04:36:26,2005-05-29 00:31:26,2388,2.99,4,Bonnie Hughes
Javier,Elrod,javier.elrod@sakilacustomer.org,Ndjamna,37,2005-05-25 04:44:31,2005-05-29 01:03:31,14396,0.99,4,Javier Elrod
Michael,Silverman,michael.silverman@sakilacustomer.org,Tiefa,38,2005-05-25 04:47:44,2005-06-01 00:58:44,8188,4.99,7,Michael Silverman
Gertrude,Castillo,gertrude.castillo@sakilacustomer.org,Nuuk,39,2005-05-25 04:51:46,2005-05-31 03:14:46,5596,0.99,6,Gertrude Castillo
Marvin,Yee,marvin.yee@sakilacustomer.org,Berhampore (Baharampur),40,2005-05-25 05:09:04,2005-05-27 23:12:04,11170,4.99,2,Marvin Yee
Yvonne,Watkins,yvonne.watkins@sakilacustomer.org,Ocumare Del Tuy,41,2005-05-25 05:12:29,2005-06-02 00:28:29,4718,5.99,8,Yvonne Watkins
Harvey,Guajardo,harvey.guajardo@sakilacustomer.org,Vinh,42,2005-05-25 05:24:58,2005-05-31 02:47:58,14076,4.99,6,Harvey Guajardo
Neil,Renner,neil.renner@sakilacustomer.org,Cam Ranh,43,2005-05-25 05:39:25,2005-05-26 06:54:25,14307,2.99,1,Neil Renner
Gertrude,Castillo,gertrude.castillo@sakilacustomer.org,Nuuk,44,2005-05-25 05:53:23,2005-05-29 10:56:23,5597,0.99,4,Gertrude Castillo
Troy,Quigley,troy.quigley@sakilacustomer.org,Vancouver,45,2005-05-25 05:59:39,2005-06-02 09:56:39,11743,7.99,8,Troy Quigley
Maria,Miller,maria.miller@sakilacustomer.org,Kragujevac,46,2005-05-25 06:04:08,2005-06-02 08:18:08,174,5.99,8,Maria Miller
Virginia,Green,virginia.green@sakilacustomer.org,Toulouse,47,2005-05-25 06:05:20,2005-05-30 03:04:20,952,3.99,5,Virginia Green
Jenny,Castro,jenny.castro@sakilacustomer.org,Ponce,48,2005-05-25 06:20:46,2005-06-02 05:42:46,7625,1.99,8,Jenny Castro
Gene,Sanborn,gene.sanborn@sakilacustomer.org,Salala,49,2005-05-25 06:39:35,2005-05-30 10:12:35,13405,2.99,5,Gene Sanborn
Carol,Garcia,carol.garcia@sakilacustomer.org,Kaduna,50,2005-05-25 06:44:53,2005-05-28 11:28:53,468,2.99,3,Carol Garcia
Mabel,Holland,mabel.holland@sakilacustomer.org,Monywa,51,2005-05-25 06:49:10,2005-05-26 06:42:10,6889,4.99,1,Mabel Holland
Edgar,Rhoads,edgar.rhoads@sakilacustomer.org,Eskisehir,52,2005-05-25 06:51:29,2005-05-31 01:27:29,13661,0.99,6,Edgar Rhoads
Dave,Gardiner,dave.gardiner@sakilacustomer.org,Leshan,53,2005-05-25 07:19:16,2005-05-27 05:19:16,15230,4.99,2,Dave Gardiner
Toni,Holt,toni.holt@sakilacustomer.org,Roanoke,54,2005-05-25 07:23:25,2005-06-01 05:05:25,7872,4.99,7,Toni Holt
Monica,Hicks,monica.hicks@sakilacustomer.org,Mukatševe,55,2005-05-25 08:26:13,2005-05-30 10:57:13,3528,2.99,5,Monica Hicks
Chester,Benner,chester.benner@sakilacustomer.org,Suihua,56,2005-05-25 08:28:11,2005-05-26 14:21:11,13757,2.99,1,Chester Benner
Jennifer,Davis,jennifer.davis@sakilacustomer.org,Laredo,57,2005-05-25 08:43:32,2005-05-29 06:42:32,146,4.99,4,Jennifer Davis
Matthew,Mahan,matthew.mahan@sakilacustomer.org,Cuautla,58,2005-05-25 08:53:14,2005-05-28 14:40:14,8723,4.99,3,Matthew Mahan
Manuel,Murrell,manuel.murrell@sakilacustomer.org,Jaffna,59,2005-05-25 08:56:42,2005-06-01 09:52:42,11033,5.99,7,Manuel Murrell
Gordon,Allard,gordon.allard@sakilacustomer.org,Hodeida,60,2005-05-25 08:58:25,2005-05-30 14:14:25,12690,2.99,5,Gordon Allard
Jo,Fowler,jo.fowler@sakilacustomer.org,Oyo,61,2005-05-25 09:01:57,2005-06-02 07:22:57,6737,5.99,8,Jo Fowler
Chad,Carbone,chad.carbone@sakilacustomer.org,Katihar,62,2005-05-25 09:18:52,2005-05-30 10:55:52,11325,2.99,5,Chad Carbone
Martin,Bales,martin.bales@sakilacustomer.org,Namibe,63,2005-05-25 09:19:16,2005-05-27 04:24:16,10366,0.99,2,Martin Bales
Harry,Arce,harry.arce@sakilacustomer.org,Najafabad,64,2005-05-25 09:21:29,2005-06-03 11:31:29,9940,5.99,9,Harry Arce
Arthur,Simpkins,arthur.simpkins@sakilacustomer.org,Maikop,65,2005-05-25 09:32:03,2005-05-29 14:21:03,9336,4.99,4,Arthur Simpkins
Jacqueline,Long,jacqueline.long@sakilacustomer.org,Songkhla,66,2005-05-25 09:35:12,2005-05-29 04:16:12,2325,1.99,4,Jacqueline Long
Sherry,Marshall,sherry.marshall@sakilacustomer.org,Shubra Al-Khayma,67,2005-05-25 09:41:01,2005-05-27 13:46:01,3188,0.99,2,Sherry Marshall
Sylvia,Ortiz,sylvia.ortiz@sakilacustomer.org,Dos Quebradas,68,2005-05-25 09:47:31,2005-05-31 10:20:31,3222,7.99,6,Sylvia Ortiz
Richard,Mccrary,richard.mccrary@sakilacustomer.org,Arlington,69,2005-05-25 10:10:14,2005-05-27 14:02:14,8269,2.99,2,Richard Mccrary
Beverly,Brooks,beverly.brooks@sakilacustomer.org,Chiayi,70,2005-05-25 10:15:23,2005-05-27 05:56:23,1970,2.99,2,Beverly Brooks
Robin,Hayes,robin.hayes@sakilacustomer.org,Jelets,71,2005-05-25 10:26:39,2005-05-28 04:59:39,2688,0.99,3,Robin Hayes
Ann,Evans,ann.evans@sakilacustomer.org,Niznekamsk,72,2005-05-25 10:52:13,2005-05-28 05:52:13,1312,0.99,3,Ann Evans
Clarence,Gamez,clarence.gamez@sakilacustomer.org,Izumisano,73,2005-05-25 11:00:07,2005-06-01 13:56:07,10588,4.99,7,Clarence Gamez
Jennie,Terry,jennie.terry@sakilacustomer.org,Olomouc,74,2005-05-25 11:09:48,2005-05-26 12:23:48,7152,0.99,1,Jennie Terry
Ben,Easter,ben.easter@sakilacustomer.org,Kamyšin,75,2005-05-25 11:13:34,2005-06-03 12:58:34,13731,8.99,9,Ben Easter
Mary,Smith,mary.smith@sakilacustomer.org,Sasebo,76,2005-05-25 11:30:37,2005-06-03 12:00:37,1,2.99,9,Mary Smith
Jim,Rea,jim.rea@sakilacustomer.org,El Fuerte,77,2005-05-25 11:31:59,2005-05-26 16:53:59,12160,0.99,1,Jim Rea
Juanita,Mason,juanita.mason@sakilacustomer.org,Pune,78,2005-05-25 11:35:18,2005-05-31 12:48:18,3636,5.99,6,Juanita Mason
Courtney,Day,courtney.day@sakilacustomer.org,Uijongbu,79,2005-05-25 12:11:07,2005-06-03 10:54:07,6622,4.99,9,Courtney Day
George,Linton,george.linton@sakilacustomer.org,Sorocaba,80,2005-05-25 12:12:07,2005-05-31 17:46:07,8504,5.99,6,George Linton
Velma,Lucas,velma.lucas@sakilacustomer.org,Effon-Alaiye,81,2005-05-25 12:15:19,2005-06-02 14:08:19,7734,6.99,8,Velma Lucas
Jesus,Mccartney,jesus.mccartney@sakilacustomer.org,Guarujá,82,2005-05-25 12:17:46,2005-06-01 10:48:46,11533,6.99,7,Jesus Mccartney
Monica,Hicks,monica.hicks@sakilacustomer.org,Mukatševe,83,2005-05-25 12:30:15,2005-05-27 15:40:15,3529,4.99,2,Monica Hicks
Lester,Kraus,lester.kraus@sakilacustomer.org,Kanchrapara,84,2005-05-25 12:36:30,2005-05-29 18:33:30,13260,2.99,4,Lester Kraus
Vincent,Ralston,vincent.ralston@sakilacustomer.org,Allende,85,2005-05-25 13:05:34,2005-05-29 16:53:34,11191,4.99,4,Vincent Ralston
Nora,Herrera,nora.herrera@sakilacustomer.org,Salzburg,86,2005-05-25 13:36:12,2005-05-30 14:53:12,7181,1.99,5,Nora Herrera
Eric,Robert,eric.robert@sakilacustomer.org,Santa Fé,87,2005-05-25 13:52:43,2005-05-29 11:12:43,8932,0.99,4,Eric Robert
Heather,Morris,heather.morris@sakilacustomer.org,Nagareyama,88,2005-05-25 14:13:54,2005-05-29 09:32:54,1454,3.99,4,Heather Morris
Marc,Outlaw,marc.outlaw@sakilacustomer.org,Brindisi,89,2005-05-25 14:28:29,2005-05-29 14:33:29,13432,2.99,4,Marc Outlaw
Deborah,Walker,deborah.walker@sakilacustomer.org,Shikarpur,90,2005-05-25 14:31:25,2005-06-01 10:07:25,656,7.99,7,Deborah Walker
Margie,Wade,margie.wade@sakilacustomer.org,Lengshuijiang,91,2005-05-25 14:57:22,2005-06-01 18:32:22,7209,6.99,7,Margie Wade
Michael,Silverman,michael.silverman@sakilacustomer.org,Tiefa,92,2005-05-25 15:38:46,2005-05-31 13:40:46,8189,5.99,6,Michael Silverman
Bobbie,Craig,bobbie.craig@sakilacustomer.org,Valle De Santiago,93,2005-05-25 15:54:16,2005-06-03 20:18:16,7790,3.99,9,Bobbie Craig
Sue,Peters,sue.peters@sakilacustomer.org,Changzhou,94,2005-05-25 16:03:42,2005-05-30 14:23:42,5316,2.99,5,Sue Peters
Bryan,Hardison,bryan.hardison@sakilacustomer.org,Dallas,95,2005-05-25 16:12:52,2005-06-02 18:55:52,10806,3.99,8,Bryan Hardison
Joyce,Edwards,joyce.edwards@sakilacustomer.org,Jedda,96,2005-05-25 16:32:19,2005-05-30 10:47:19,1329,1.99,5,Joyce Edwards
Hilda,Hopkins,hilda.hopkins@sakilacustomer.org,Mandaluyong,97,2005-05-25 16:34:24,2005-05-28 12:13:24,7098,4.99,3,Hilda Hopkins
Cassandra,Walters,cassandra.walters@sakilacustomer.org,Salinas,98,2005-05-25 16:48:24,2005-05-27 11:29:24,7275,0.99,2,Cassandra Walters
Marie,Turner,marie.turner@sakilacustomer.org,Lipetsk,99,2005-05-25 16:50:20,2005-05-28 18:52:20,1204,4.99,3,Marie Turner
Lucy,Wheeler,lucy.wheeler@sakilacustomer.org,Balurghat,100,2005-05-25 16:50:28,2005-06-02 22:11:28,5630,4.99,8,Lucy Wheeler
Tim,Cary,tim.cary@sakilacustomer.org,Bijapur,101,2005-05-25 17:17:04,2005-05-31 19:47:04,12611,6.99,6,Tim Cary
Douglas,Graf,douglas.graf@sakilacustomer.org,Mexicali,102,2005-05-25 17:22:10,2005-05-31 19:47:10,9270,3.99,6,Douglas Graf
Ernest,Stepp,ernest.stepp@sakilacustomer.org,Huai´An,103,2005-05-25 17:30:42,2005-06-03 22:36:42,10393,4.99,9,Ernest Stepp
Daniel,Cabral,daniel.cabral@sakilacustomer.org,Ibirité,104,2005-05-25 17:46:33,2005-05-27 15:20:33,8412,0.99,2,Daniel Cabral
Tracy,Cole,tracy.cole@sakilacustomer.org,Huixquilucan,105,2005-05-25 17:54:12,2005-05-30 12:03:12,2903,4.99,5,Tracy Cole
Alma,Austin,alma.austin@sakilacustomer.org,Mannheim,106,2005-05-25 18:18:19,2005-06-04 00:01:19,5281,11.99,10,Alma Austin
Edward,Baugh,edward.baugh@sakilacustomer.org,Tórshavn,107,2005-05-25 18:28:09,2005-06-03 22:46:09,8583,6.99,9,Edward Baugh
Glenda,Frazier,glenda.frazier@sakilacustomer.org,Qinhuangdao,108,2005-05-25 18:30:05,2005-05-30 19:40:05,6534,2.99,5,Glenda Frazier
Angel,Barclay,angel.barclay@sakilacustomer.org,Ueda,109,2005-05-25 18:40:20,2005-05-29 20:39:20,13545,1.99,4,Angel Barclay
Ruth,Martinez,ruth.martinez@sakilacustomer.org,Kimberley,110,2005-05-25 18:43:49,2005-06-03 18:13:49,491,9.99,9,Ruth Martinez
Colleen,Burton,colleen.burton@sakilacustomer.org,Saarbrücken,111,2005-05-25 18:45:19,2005-05-28 17:18:19,6110,4.99,3,Colleen Burton
Reginald,Kinder,reginald.kinder@sakilacustomer.org,Madiun,112,2005-05-25 18:57:24,2005-06-02 20:44:24,13462,8.99,8,Reginald Kinder
Phyllis,Foster,phyllis.foster@sakilacustomer.org,Zalantun,113,2005-05-25 19:07:40,2005-05-27 22:16:40,2532,2.99,2,Phyllis Foster
Leslie,Seward,leslie.seward@sakilacustomer.org,Pontianak,114,2005-05-25 19:12:42,2005-06-01 23:10:42,13626,3.99,7,Leslie Seward
Jon,Wiles,jon.wiles@sakilacustomer.org,El Alto,115,2005-05-25 19:13:25,2005-05-29 20:17:25,12281,0.99,4,Jon Wiles
Carol,Garcia,carol.garcia@sakilacustomer.org,Kaduna,116,2005-05-25 19:27:51,2005-05-26 16:23:51,469,4.99,1,Carol Garcia
Maria,Miller,maria.miller@sakilacustomer.org,Kragujevac,117,2005-05-25 19:30:46,2005-05-31 23:59:46,175,0.99,6,Maria Miller
Jared,Ely,jared.ely@sakilacustomer.org,Purwakarta,118,2005-05-25 19:31:18,2005-05-31 15:00:18,14098,0.99,6,Jared Ely
Alice,Stewart,alice.stewart@sakilacustomer.org,Fontana,119,2005-05-25 19:37:02,2005-05-29 23:51:02,1392,4.99,4,Alice Stewart
Bruce,Schwarz,bruce.schwarz@sakilacustomer.org,Okinawa,120,2005-05-25 19:37:47,2005-06-01 23:29:47,9858,5.99,7,Bruce Schwarz
Leonard,Schofield,leonard.schofield@sakilacustomer.org,Tandil,121,2005-05-25 19:41:29,2005-05-29 21:31:29,10941,2.99,4,Leonard Schofield
Priscilla,Lowe,priscilla.lowe@sakilacustomer.org,Salamanca,122,2005-05-25 19:46:21,2005-06-02 19:07:21,7367,3.99,8,Priscilla Lowe
Christine,Roberts,christine.roberts@sakilacustomer.org,Faaa,123,2005-05-25 20:26:42,2005-05-26 19:41:42,1179,4.99,1,Christine Roberts
Marian,Mendoza,marian.mendoza@sakilacustomer.org,Maringá,124,2005-05-25 20:46:11,2005-05-30 00:47:11,6654,6.99,5,Marian Mendoza
Harry,Arce,harry.arce@sakilacustomer.org,Najafabad,125,2005-05-25 20:48:50,2005-06-02 21:39:50,9941,5.99,8,Harry Arce
Alexander,Fennell,alexander.fennell@sakilacustomer.org,Bergamo,126,2005-05-25 21:07:59,2005-05-28 18:51:59,11829,2.99,3,Alexander Fennell
Norma,Gonzales,norma.gonzales@sakilacustomer.org,Bislig,127,2005-05-25 21:10:40,2005-06-02 21:38:40,2555,2.99,8,Norma Gonzales
Amanda,Carter,amanda.carter@sakilacustomer.org,Nador,128,2005-05-25 21:19:53,2005-05-29 23:34:53,1097,4.99,4,Amanda Carter
Sarah,Lewis,sarah.lewis@sakilacustomer.org,Liepaja,129,2005-05-25 21:20:03,2005-06-04 01:25:03,601,8.99,10,Sarah Lewis
Gloria,Cook,gloria.cook@sakilacustomer.org,Papeete,130,2005-05-25 21:21:56,2005-05-30 22:41:56,1535,3.99,5,Gloria Cook
Timothy,Bunn,timothy.bunn@sakilacustomer.org,Brasília,131,2005-05-25 21:42:46,2005-05-30 23:25:46,8779,5.99,5,Timothy Bunn
Zachary,Hite,zachary.hite@sakilacustomer.org,Akron,132,2005-05-25 21:46:54,2005-05-31 21:02:54,12926,3.99,6,Zachary Hite
Tanya,Gilbert,tanya.gilbert@sakilacustomer.org,Naju,133,2005-05-25 21:48:30,2005-05-30 00:26:30,6386,0.99,5,Tanya Gilbert
Delores,Hansen,delores.hansen@sakilacustomer.org,Jaroslavl,134,2005-05-25 21:48:41,2005-06-02 18:28:41,6004,4.99,8,Delores Hansen
David,Royal,david.royal@sakilacustomer.org,Callao,135,2005-05-25 21:58:58,2005-06-03 17:50:58,8243,10.99,9,David Royal
Nathaniel,Adam,nathaniel.adam@sakilacustomer.org,Joliet,136,2005-05-25 22:02:30,2005-05-31 18:06:30,13577,5.99,6,Nathaniel Adam
Jordan,Archuleta,jordan.archuleta@sakilacustomer.org,Avellaneda,137,2005-05-25 22:25:18,2005-06-01 02:30:18,14991,2.99,7,Jordan Archuleta
Kirk,Stclair,kirk.stclair@sakilacustomer.org,Tsaotun,138,2005-05-25 22:48:22,2005-05-29 20:21:22,15690,4.99,4,Kirk Stclair
Marsha,Douglas,marsha.douglas@sakilacustomer.org,Beira,139,2005-05-25 23:00:21,2005-05-29 17:12:21,6919,2.99,4,Marsha Douglas
Justin,Ngo,justin.ngo@sakilacustomer.org,Santo André,140,2005-05-25 23:34:22,2005-05-27 01:10:22,9551,0.99,2,Justin Ngo
Julia,Flores,julia.flores@sakilacustomer.org,La Plata,141,2005-05-25 23:34:53,2005-06-02 01:57:53,2409,2.99,8,Julia Flores
Greg,Robins,greg.robins@sakilacustomer.org,Nam Dinh,142,2005-05-25 23:43:47,2005-05-29 00:46:47,12749,0.99,4,Greg Robins
Sherri,Rhodes,sherri.rhodes@sakilacustomer.org,Ahmadnagar,143,2005-05-25 23:45:52,2005-05-27 21:41:52,8047,0.99,2,Sherri Rhodes
Keith,Rico,keith.rico@sakilacustomer.org,Bratislava,144,2005-05-25 23:49:56,2005-06-01 21:41:56,9637,2.99,7,Keith Rico
Kathryn,Coleman,kathryn.coleman@sakilacustomer.org,Simferopol,145,2005-05-25 23:59:03,2005-05-31 02:56:03,2218,2.99,6,Kathryn Coleman
Don,Bone,don.bone@sakilacustomer.org,Naçala-Porto,146,2005-05-26 00:07:11,2005-06-04 00:20:11,11666,8.99,9,Don Bone
Naomi,Jennings,naomi.jennings@sakilacustomer.org,Karnal,147,2005-05-26 00:17:50,2005-05-29 23:21:50,7402,2.99,3,Naomi Jennings
April,Burns,april.burns@sakilacustomer.org,Dundee,148,2005-05-26 00:25:23,2005-06-01 19:29:23,3832,0.99,6,April Burns
Ronald,Weiner,ronald.weiner@sakilacustomer.org,San Felipe Del Progreso,149,2005-05-26 00:28:05,2005-06-02 21:30:05,8624,3.99,7,Ronald Weiner
Frederick,Isbell,frederick.isbell@sakilacustomer.org,Tsuyama,150,2005-05-26 00:28:39,2005-06-01 02:10:39,11577,5.99,6,Frederick Isbell
Betty,White,betty.white@sakilacustomer.org,Citrus Heights,151,2005-05-26 00:37:28,2005-05-30 06:28:28,358,0.99,4,Betty White
Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,Vaduz,152,2005-05-26 00:41:10,2005-06-03 06:05:10,1565,9.99,8,Evelyn Morgan
Roger,Quintanilla,roger.quintanilla@sakilacustomer.org,Hsichuh,153,2005-05-26 00:47:47,2005-05-27 21:28:47,9398,0.99,1,Roger Quintanilla
Roberta,Harper,roberta.harper@sakilacustomer.org,Shahr-E Kord,154,2005-05-26 00:55:56,2005-05-29 23:18:56,5021,0.99,3,Roberta Harper
Clayton,Barbee,clayton.barbee@sakilacustomer.org,Alvorada,155,2005-05-26 01:15:05,2005-06-01 00:03:05,14780,7.99,6,Clayton Barbee
Warren,Sherrod,warren.sherrod@sakilacustomer.org,Usolje-Sibirskoje,156,2005-05-26 01:19:05,2005-05-27 23:43:05,12468,2.99,1,Warren Sherrod
Henry,Billingsley,henry.billingsley@sakilacustomer.org,Nuku´Alofa,157,2005-05-26 01:25:21,2005-05-26 21:17:21,9295,2.99,0,Henry Billingsley
Justin,Ngo,justin.ngo@sakilacustomer.org,Santo André,158,2005-05-26 01:27:11,2005-06-03 00:30:11,9552,1.99,8,Justin Ngo
Rafael,Abney,rafael.abney@sakilacustomer.org,Talavera,159,2005-05-26 01:34:28,2005-05-29 04:00:28,13605,2.99,3,Rafael Abney
Kristina,Chambers,kristina.chambers@sakilacustomer.org,Valle De La Pascua,160,2005-05-26 01:46:20,2005-06-01 05:45:20,7844,2.99,6,Kristina Chambers
Renee,Lane,renee.lane@sakilacustomer.org,Compton,161,2005-05-26 01:51:48,2005-05-27 05:42:48,4948,0.99,1,Renee Lane
Ramona,Hale,ramona.hale@sakilacustomer.org,Patiala,162,2005-05-26 02:02:05,2005-05-27 03:38:05,8017,4.99,1,Ramona Hale
Rita,Graham,rita.graham@sakilacustomer.org,Toulon,163,2005-05-26 02:26:23,2005-06-04 06:36:23,2800,10.99,9,Rita Graham
Megan,Palmer,megan.palmer@sakilacustomer.org,Laiwu,164,2005-05-26 02:26:49,2005-05-28 00:32:49,4109,4.99,2,Megan Palmer
Anna,Hill,anna.hill@sakilacustomer.org,Alessandria,165,2005-05-26 02:28:36,2005-06-02 03:21:36,907,2.99,7,Anna Hill
Jason,Morrissey,jason.morrissey@sakilacustomer.org,Bahía Blanca,166,2005-05-26 02:49:11,2005-05-31 01:28:11,8695,0.99,5,Jason Morrissey
Tony,Carranza,tony.carranza@sakilacustomer.org,Koriyama,167,2005-05-26 02:50:31,2005-05-27 03:07:31,10834,4.99,1,Tony Carranza
Wesley,Bull,wesley.bull@sakilacustomer.org,Ourense (Orense),168,2005-05-26 03:07:43,2005-06-02 02:09:43,12650,0.99,7,Wesley Bull
Bobby,Boudreau,bobby.boudreau@sakilacustomer.org,South Hill,169,2005-05-26 03:09:30,2005-05-27 01:37:30,10307,0.99,1,Bobby Boudreau
Florence,Woods,florence.woods@sakilacustomer.org,Merlo,170,2005-05-26 03:11:12,2005-06-02 03:53:12,2873,5.99,7,Florence Woods
Bryan,Hardison,bryan.hardison@sakilacustomer.org,Dallas,171,2005-05-26 03:14:15,2005-06-03 00:24:15,10807,6.99,8,Bryan Hardison
June,Carroll,june.carroll@sakilacustomer.org,Skikda,172,2005-05-26 03:17:42,2005-05-29 04:11:42,4763,0.99,3,June Carroll
Jessie,Milam,jessie.milam@sakilacustomer.org,Binzhou,173,2005-05-26 03:42:10,2005-05-28 01:37:10,14339,0.99,2,Jessie Milam
Hugh,Waldrop,hugh.waldrop@sakilacustomer.org,Haining,174,2005-05-26 03:44:10,2005-05-28 07:13:10,14806,0.99,2,Hugh Waldrop
Frances,Parker,frances.parker@sakilacustomer.org,Juazeiro Do Norte,175,2005-05-26 03:46:26,2005-06-03 06:01:26,1290,3.99,8,Frances Parker
Jo,Fowler,jo.fowler@sakilacustomer.org,Oyo,176,2005-05-26 03:47:39,2005-06-01 02:36:39,6738,3.99,6,Jo Fowler
Allan,Cornish,allan.cornish@sakilacustomer.org,Tarlac,177,2005-05-26 04:14:29,2005-06-01 08:16:29,14709,6.99,6,Allan Cornish
